rank,candidate_id,semantic_score
1,CAND_0000031,100.0
2,CAND_0000021,95.49
3,CAND_0000011,94.9
4,CAND_0000026,94.17
5,CAND_0000034,92.32
6,CAND_0000002,91.74
7,CAND_0000010,91.36
8,CAND_0000030,91.33
9,CAND_0000014,91.05
10,CAND_0000020,90.95
11,CAND_0000046,90.48
12,CAND_0000008,90.34
13,CAND_0000043,90.09
14,CAND_0000048,89.8
15,CAND_0000042,89.29
16,CAND_0000022,89.17
17,CAND_0000040,89.05
18,CAND_0000017,88.98
19,CAND_0000024,88.76
20,CAND_0000005,88.72
21,CAND_0000007,88.67
22,CAND_0000027,88.54
23,CAND_0000004,88.52
24,CAND_0000035,88.24
25,CAND_0000019,87.67
26,CAND_0000049,87.52
27,CAND_0000016,87.34
28,CAND_0000037,87.17
29,CAND_0000039,87.09
30,CAND_0000047,86.85
31,CAND_0000032,86.76
32,CAND_0000036,86.59
33,CAND_0000050,86.27
34,CAND_0000009,85.7
35,CAND_0000006,85.46
36,CAND_0000013,85.25
37,CAND_0000018,85.15
38,CAND_0000029,84.66
39,CAND_0000023,84.5
40,CAND_0000045,84.3
41,CAND_0000025,82.6
42,CAND_0000044,81.48
43,CAND_0000041,80.86
44,CAND_0000038,80.8
45,CAND_0000015,80.55
46,CAND_0000028,80.32
47,CAND_0000033,80.26
48,CAND_0000003,78.09
49,CAND_0000012,77.81
50,CAND_0000001,76.93
